seller_id,seller_state,total_orders,late_rate,avg_delay_days,avg_review_score,total_revenue_at_risk,canceled_orders,reliability_score,reliability_tier
2a61c271b1ac763450d846849783e922,SP,17,13.64,-7.32,3.68,288.39,0,107.82,Reliable
d3f39f05462b79a4562d35893a28f159,SP,33,13.51,-12.3,3.32,628.82,0,117.84,Reliable
8b9d6eec4a7eb7d0f9d579ce0b38324d,RJ,48,13.46,-10.77,4.12,761.54,0,114.81,Reliable
bce6a5ecf98e99fd2a8868b15c51f04b,SP,14,13.33,-8.4,4.13,266.28,0,110.13,Reliable
ca4b77513ac2040591b0d8fae6958380,SP,14,13.33,-3.07,4.47,290.86,0,99.47,Reliable
238fac594e170b59c6d228f5a4f4f1d9,SP,29,13.33,-10.27,3.83,1038.11,0,113.88,Reliable
3771c85bac139d2344864ede5d9341e3,SP,26,13.33,-8.3,3.57,340.17,0,109.94,Reliable
655220df33262c7e0c4949a147366f94,SP,13,13.33,-8.47,4.2,369.11,0,110.27,Reliable
be8e909810184b9b19e886129149d8e5,SP,15,13.33,-7.4,3.73,132.98,0,108.13,Reliable
8b8cfc8305aa441e4239358c9f6f2485,PR,15,13.33,-16.07,4.2,1402.62,0,125.47,Reliable
014c0679dd340a0e338872e7ec85666a,MG,14,13.33,-11.67,3.67,2172.67,0,116.67,Reliable
891071be6ba827b591264c90c2ae8a63,SP,85,13.33,-11.56,3.86,1043.65,0,116.45,Reliable
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,218,13.1,-9.15,4.22,9862.99,0,111.75,Reliable
4c8b8048e33af2bf94f2eb547746a916,SP,19,13.04,-4.04,3.48,700.42,0,101.56,Reliable
440dd6ab244315c632130ecfb63827b1,SP,91,13.04,-11.38,3.89,2241.7,0,116.24,Reliable
f918546be4bec7104d117789ba758b2b,SP,20,13.04,-10.22,3.83,388.54,0,113.92,Reliable
adbc26658d6c7b4b6219f9d934598091,PR,88,13.04,-8.38,4.05,1824.61,0,110.24,Reliable
082e0bf4cb865a6533b1e8e498cc0255,SP,11,13.04,-17.78,3.3,456.82,0,129.04,Reliable
e2aee0892199b1d92530e371abd825bf,PR,36,12.82,-13.36,3.9,869.59,0,120.31,Reliable
8b28d096634035667e8263d57ba3368c,SP,139,12.58,-10.29,3.82,1942.11,0,114.29,Reliable
855668e0971d4dfd7bef1b6a4133b41b,SP,300,12.54,-9.04,3.78,6646.32,0,111.81,Reliable
11305281b50fff20ae8bb473f8e11876,MG,35,12.5,-12.68,4.35,1239.21,0,119.11,Reliable
9906e7aa42a3c067b7c9a564d01c4320,PR,12,12.5,-11.69,4.06,453.54,0,117.13,Reliable
c794dab4928dd97beb41d05514441e86,SP,16,12.5,-7.44,4.37,136.0,0,108.63,Reliable
23a0ffca143a15b9b5bbdb7d552f626a,SP,23,12.5,-11.42,3.96,339.12,0,116.59,Reliable
681fce914360217db47784ae28905a96,PR,23,12.5,-13.21,3.71,654.94,0,120.17,Reliable
cee48807215b30a12ca2ca10ffb5f250,SP,39,12.5,-13.13,3.7,1686.27,0,120.01,Reliable
c4fb51fb1c5b7c07bc5e67be6e7e8f6e,PR,15,12.5,-11.19,3.5,177.51,0,116.13,Reliable
2d2c62bef4c8ba0dd74e0e228e808539,SP,16,12.5,-9.31,4.12,653.87,0,112.37,Reliable
7139dc5186aa238b006e066d8fbab2e4,SP,22,12.5,-11.29,3.92,269.25,0,116.33,Reliable
bbaff50f3b708fda865918715276cd87,SP,12,12.5,-7.63,4.81,68.41,0,109.01,Reliable
7e1fb0a3ebfb01ffb3a7dae98bf3238d,SP,155,12.43,-10.79,4.11,4530.56,0,115.36,Reliable
ff1fb4c404b2efe68b03350a8dc24122,SP,46,12.24,-8.76,4.06,1478.2,0,111.4,Reliable
8f2ce03f928b567e3d56181ae20ae952,SP,151,12.21,-9.72,4.09,4176.42,0,113.33,Reliable
2089a6d640999f9b9141ac719b2af596,SP,41,12.2,-11.44,3.93,1443.05,0,116.78,Reliable
c8467937e403e76a8ee9f0ab13f6f5ef,MG,30,12.12,-9.48,3.76,330.08,0,112.9,Reliable
643214e62b870443ccbe55ab29a4dccf,SP,65,12.12,-10.71,4.41,412.03,0,115.36,Reliable
fffd5413c0700ac820c7069d66d98c89,SP,57,12.07,-11.33,3.84,1383.89,0,116.62,Reliable
e89c4adbe7b1d0819dbb636e16461cf1,SP,24,12.0,-10.56,3.88,448.09,0,115.12,Reliable
048c2757535328e0d7dac690ad3c0aae,SP,50,12.0,-10.0,4.16,1296.31,0,114.0,Reliable
1eade46fba20122dc4aefb379f8c636b,SP,58,12.0,-7.52,4.31,690.43,0,109.04,Reliable
75d34ebb1bd0bd7dde40dd507b8169c3,BA,57,11.94,-16.84,3.99,2395.94,0,127.71,Reliable
3361277dc30b7cccdb0c286b24219756,PR,29,11.9,-15.02,4.21,3034.78,0,124.09,Reliable
ba143b05f0110f0dc71ad71b4466ce92,SP,83,11.9,-8.45,4.46,771.69,0,110.95,Reliable
903037660cf848a717166eb7a06d616e,SP,44,11.86,-16.97,3.81,2780.35,0,128.01,Reliable
